Sponsor_raw,Sponsor_clean,Sponsor_type
UCB Biopharma S.P.R.L.,UCB Biopharma S.P.R.L.,Industry
Institut Claudius Regaud,Institut Claudius Regaud,Research institute / foundation
Wake Forest University,Wake Forest University,Academic
Sidney Kimmel Cancer Center at Thomas Jefferson University,Sidney Kimmel Cancer Center at Thomas Jefferson University,Academic
Amgen,Amgen,Industry
Morphotek,Morphotek,Industry
Fondazione Policlinico Universitario Agostino Gemelli IRCCS,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,Hospital / medical center
"Betta Pharmaceuticals Co., Ltd.","Betta Pharmaceuticals Co., Ltd.",Industry
Samsung Medical Center,Samsung Medical Center,Hospital / medical center
Radiation Therapy Oncology Group,Radiation Therapy Oncology Group,Cooperative group / network
"Genentech, Inc.",Genentech,Industry
Shenzhen Second People's Hospital,Shenzhen Second People's Hospital,Hospital / medical center
Merck Sharp & Dohme LLC,Merck Sharp & Dohme LLC,Industry
Hospital Israelita Albert Einstein,Hospital Israelita Albert Einstein,Hospital / medical center
Peking University People's Hospital,Peking University People's Hospital,Hospital / medical center
University of Louisville,University of Louisville,Academic
Abnoba Gmbh,Abnoba GmbH,Industry
Eastern Cooperative Oncology Group,Eastern Cooperative Oncology Group,Cooperative group / network
"University Hospital, Caen","University Hospital, Caen",Hospital / medical center
CAMC Health System,CAMC Health System,Hospital / medical center
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Pfizer,Pfizer,Industry
Sun Yat-sen University,Sun Yat-sen University,Academic
Jean-Pierre Van geertruyden,Jean-Pierre Van Geertruyden,Individual
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Rabin Medical Center,Rabin Medical Center,Hospital / medical center
argenx,argenx,Industry
Shanghai Jiao Tong University School of Medicine,Shanghai Jiao Tong University School of Medicine,Academic
Ruijin Hospital,Ruijin Hospital,Hospital / medical center
University of Göttingen,University of Göttingen,Academic
Children's Cancer and Leukaemia Group,Children's Cancer and Leukaemia Group,Cooperative group / network
Sun Yat-sen University,Sun Yat-sen University,Academic
AbbVie,AbbVie,Industry
Privo Technologies,Privo Technologies,Industry
GlaxoSmithKline,GlaxoSmithKline,Industry
"Almirall, S.A.",Almirall,Industry
"Air Force Military Medical University, China",Air Force Military Medical University,Academic
"University of California, San Francisco","University of California, San Francisco",Academic
Tianjin Medical University Cancer Institute and Hospital,Tianjin Medical University Cancer Institute and Hospital,Hospital / medical center
South Egypt Cancer Institute,South Egypt Cancer Institute,Research institute / foundation
Chang Gung Memorial Hospital,Chang Gung Memorial Hospital,Hospital / medical center
"Janssen Research & Development, LLC",Janssen Research & Development,Industry
"Jiangsu Chia Tai Fenghai Pharmaceutical Co., Ltd.",Jiangsu Chia Tai Fenghai Pharmaceutical,Industry
Boehringer Ingelheim,Boehringer Ingelheim,Industry
Bio Sidus SA,Bio Sidus,Industry
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
University of Erlangen-Nürnberg Medical School,University of Erlangen-Nürnberg,Academic
Hoffmann-La Roche,Hoffmann-La Roche,Industry
European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer,Cooperative group / network
Fred Hutchinson Cancer Center,Fred Hutchinson Cancer Center,Hospital / medical center
EDAP Technomed,EDAP Technomed,Industry
Association Pour La Recherche des Thérapeutiques Innovantes en Cancérologie,Association Pour La Recherche des Thérapeutiques Innovantes en Cancérologie,Research institute / foundation
"Sichuan Baili Pharmaceutical Co., Ltd.",Sichuan Baili Pharmaceutical,Industry
"Janssen Research & Development, LLC",Janssen Research & Development,Industry
Amgen,Amgen,Industry
"Gustave Roussy, Cancer Campus, Grand Paris",Gustave Roussy,Research institute / foundation
Institut Català d'Oncologia,Institut Català d'Oncologia,Research institute / foundation
Scotland and Newcastle Lymphoma Group,Scotland and Newcastle Lymphoma Group,Cooperative group / network
Swiss Cancer Institute,Swiss Cancer Institute,Research institute / foundation
Heidelberg University,Heidelberg University,Academic
"Post Graduate Institute of Medical Education and Research, Chandigarh",Post Graduate Institute of Medical Education and Research,Academic
Ming Zhao,Ming Zhao,Individual
BioDelivery Sciences International,BioDelivery Sciences International,Industry
Brooke Army Medical Center,Brooke Army Medical Center,Hospital / medical center
Regeneron Pharmaceuticals,Regeneron Pharmaceuticals,Industry
Jagiellonian University,Jagiellonian University,Academic
Baxalta now part of Shire,Baxalta,Industry
Queensland Centre for Gynaecological Cancer,Queensland Centre for Gynaecological Cancer,Research institute / foundation
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
"University College, London",University College London,Academic
Des Moines University,Des Moines University,Academic
CivaTech Oncology,CivaTech Oncology,Industry
"Alliance Foundation Trials, LLC.",Alliance Foundation Trials,Industry
Sinocelltech Ltd.,Sinocelltech,Industry
LEO Pharma,LEO Pharma,Industry
Ottawa Hospital Research Institute,Ottawa Hospital Research Institute,Research institute / foundation
Guangxi Medical University,Guangxi Medical University,Academic
Peking Union Medical College Hospital,Peking Union Medical College Hospital,Hospital / medical center
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
Chinese PLA General Hospital,Chinese PLA General Hospital,Hospital / medical center
Bristol-Myers Squibb,Bristol-Myers Squibb,Industry
Ferring Pharmaceuticals,Ferring Pharmaceuticals,Industry
Institut Bergonié,Institut Bergonié,Research institute / foundation
Sun Yat-sen University,Sun Yat-sen University,Academic
Hutchison Medipharma Limited,Hutchison Medipharma Limited,Industry
Virginia Commonwealth University,Virginia Commonwealth University,Academic
George Washington University,George Washington University,Academic
Danish Breast Cancer Cooperative Group,Danish Breast Cancer Cooperative Group,Cooperative group / network
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
University of Palermo,University of Palermo,Academic
Nexstar Pharmaceuticals,Nexstar Pharmaceuticals,Industry
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Affiliated Hospital of Nantong University,Affiliated Hospital of Nantong University,Hospital / medical center
"Genzyme, a Sanofi Company",Genzyme,Industry
Polynoma LLC,Polynoma LLC,Industry
University of Washington,University of Washington,Academic
Bital Savir-Baruch,Bital Savir-Baruch,Individual
Grünenthal GmbH,Grünenthal GmbH,Industry
Hookipa Biotech GmbH,Hookipa Biotech GmbH,Industry
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
Radboud University Medical Center,Radboud University Medical Center,Hospital / medical center
University of British Columbia,University of British Columbia,Academic
Fundación de Investigación Biomédica - Hospital Universitario de La Princesa,Hospital Universitario de La Princesa,Hospital / medical center
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Kjeld Schmiegelow,Kjeld Schmiegelow,Individual
Ottawa Hospital Research Institute,Ottawa Hospital Research Institute,Research institute / foundation
"Shanghai Bovax Biotechnology Co., Ltd.","Shanghai Bovax Biotechnology Co., Ltd.",Industry
Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,Research institute / foundation
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
"Jiangsu HengRui Medicine Co., Ltd.","Jiangsu HengRui Medicine Co., Ltd.",Industry
"Taiho Oncology, Inc.","Taiho Oncology, Inc.",Industry
Sun Yat-sen University,Sun Yat-sen University,Academic
"Cellectar Biosciences, Inc.","Cellectar Biosciences, Inc.",Industry
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Mayo Clinic,Mayo Clinic,Hospital / medical center
"University Hospital, Bordeaux","University Hospital, Bordeaux",Hospital / medical center
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Third Military Medical University,Third Military Medical University,Academic
Bispebjerg Hospital,Bispebjerg Hospital,Hospital / medical center
Celgene,Celgene,Industry
Tanta University,Tanta University,Academic
Nihon University,Nihon University,Academic
Al-Azhar University,Al-Azhar University,Academic
University Magna Graecia,University Magna Graecia,Academic
Eastern Cooperative Oncology Group,Eastern Cooperative Oncology Group,Cooperative group / network
LifeBond Ltd.,LifeBond Ltd.,Industry
"Shanghai Pulmonary Hospital, Shanghai, China",Shanghai Pulmonary Hospital,Hospital / medical center
Poitiers University Hospital,Poitiers University Hospital,Hospital / medical center
AstraZeneca,AstraZeneca,Industry
"Fondazione IRCCS Istituto Nazionale dei Tumori, Milano","Fondazione IRCCS Istituto Nazionale dei Tumori, Milano",Research institute / foundation
Akeso,Akeso,Industry
"Mabwell (Shanghai) Bioscience Co., Ltd.","Mabwell Shanghai Bioscience Co., Ltd.",Industry
"Betta Pharmaceuticals Co., Ltd.","Betta Pharmaceuticals Co., Ltd.",Industry
Gynecologic Oncology Group,Gynecologic Oncology Group,Cooperative group / network
"Nanfang Hospital, Southern Medical University","Nanfang Hospital, Southern Medical University",Hospital / medical center
Sun Yat-sen University,Sun Yat-sen University,Academic
Eisai Inc.,Eisai Inc.,Industry
Novartis,Novartis,Industry
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Eli Lilly and Company,Eli Lilly and Company,Industry
"Ivy Life Sciences, Co., Ltd","Ivy Life Sciences Co., Ltd",Industry
Jia Fan,Jia Fan,Individual
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Celgene,Celgene,Industry
"University Health Network, Toronto","University Health Network, Toronto",Hospital / medical center
xuling,xuling,Individual
"Fuda Cancer Hospital, Guangzhou","Fuda Cancer Hospital, Guangzhou",Hospital / medical center
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
Changi General Hospital,Changi General Hospital,Hospital / medical center
International Atomic Energy Agency,International Atomic Energy Agency,Government / public agency
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
"Janssen Research & Development, LLC","Janssen Research & Development, LLC",Industry
Hackensack Meridian Health,Hackensack Meridian Health,Hospital / medical center
Cairo University,Cairo University,Academic
Gesellschaft fur Medizinische Innovation - Hamatologie und Onkologie mbH,Gesellschaft fur Medizinische Innovation - Hamatologie und Onkologie mbH,Industry
Gynecologic Oncology Group,Gynecologic Oncology Group,Cooperative group / network
Mundipharma Pharmaceuticals Sdn. Bhd.,Mundipharma Pharmaceuticals Sdn. Bhd.,Industry
"Beijing InnoCare Pharma Tech Co., Ltd.","Beijing InnoCare Pharma Tech Co., Ltd.",Industry
NRG Oncology,NRG Oncology,Cooperative group / network
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
"University Health Network, Toronto","University Health Network, Toronto",Hospital / medical center
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Medical University of Warsaw,Medical University of Warsaw,Academic
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
Stanford University,Stanford University,Academic
Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,Sun Yat-sen Memorial Hospital of Sun Yat-sen University,Hospital / medical center
"Azienda Ospedaliera ""Sant'Andrea""",Azienda Ospedaliera Sant'Andrea,Hospital / medical center
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,Hospital / medical center
Peking University,Peking University,Academic
FutureChem,FutureChem,Industry
AOP Orphan Pharmaceuticals AG,AOP Orphan Pharmaceuticals AG,Industry
Tel-Aviv Sourasky Medical Center,Tel-Aviv Sourasky Medical Center,Hospital / medical center
University of Sao Paulo General Hospital,University of Sao Paulo General Hospital,Hospital / medical center
ETOP IBCSG Partners Foundation,ETOP IBCSG Partners Foundation,Cooperative group / network
The Cleveland Clinic,The Cleveland Clinic,Hospital / medical center
Pfizer,Pfizer,Industry
The Netherlands Cancer Institute,The Netherlands Cancer Institute,Research institute / foundation
Dr. Rajendra Prasad Government Medical College,Dr. Rajendra Prasad Government Medical College,Academic
Korea University Anam Hospital,Korea University Anam Hospital,Hospital / medical center
Gilead Sciences,Gilead Sciences,Industry
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Austrian Forum Against Cancer,Austrian Forum Against Cancer,Other / unknown
University of Washington,University of Washington,Academic
Bausch & Lomb Incorporated,Bausch & Lomb Incorporated,Industry
Centre Hospitalier Régional d'Orléans,Centre Hospitalier Régional d'Orléans,Hospital / medical center
"Sichuan Baili Pharmaceutical Co., Ltd.",Sichuan Baili Pharmaceutical,Industry
Second Affiliated Hospital of Guangzhou Medical University,Guangzhou Medical University,Academic
"Central Hospital, Nancy, France","Central Hospital, Nancy",Hospital / medical center
Incyte Corporation,Incyte Corporation,Industry
Hospices Civils de Lyon,Hospices Civils de Lyon,Hospital / medical center
Georgetown University,Georgetown University,Academic
"Spectrum Pharmaceuticals, Inc",Spectrum Pharmaceuticals,Industry
International Atomic Energy Agency,International Atomic Energy Agency,Government / public agency
"Janssen Research & Development, LLC",Janssen Research & Development,Industry
RenJi Hospital,RenJi Hospital,Hospital / medical center
Dutch Childhood Oncology Group,Dutch Childhood Oncology Group,Cooperative group / network
National Taiwan University Hospital,National Taiwan University Hospital,Hospital / medical center
Bayer,Bayer,Industry
The First Affiliated Hospital of Dalian Medical University,Dalian Medical University,Academic
Oxford BioMedica,Oxford BioMedica,Industry
Northwestern University,Northwestern University,Academic
European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer,Cooperative group / network
Canadian Cancer Trials Group,Canadian Cancer Trials Group,Cooperative group / network
Melanoma and Skin Cancer Trials Limited,Melanoma and Skin Cancer Trials Limited,Cooperative group / network
Children's Oncology Group,Children's Oncology Group,Cooperative group / network
Ontario Clinical Oncology Group (OCOG),Ontario Clinical Oncology Group,Cooperative group / network
"Jiangsu HengRui Medicine Co., Ltd.",Jiangsu HengRui Medicine,Industry
Myovant Sciences GmbH,Myovant Sciences,Industry
University of Zurich,University of Zurich,Academic
"University Health Network, Toronto",University Health Network,Hospital / medical center
Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,Hospital / medical center
Asan Medical Center,Asan Medical Center,Hospital / medical center
St. Louis University,Saint Louis University,Academic
Nektar Therapeutics,Nektar Therapeutics,Industry
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Dominik Paul Modest,Dominik Paul Modest,Individual
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
LEO Pharma,LEO Pharma,Industry
Corcept Therapeutics,Corcept Therapeutics,Industry
"University Hospital, Gentofte, Copenhagen",University Hospital Gentofte,Hospital / medical center
"Rigshospitalet, Denmark",Rigshospitalet,Hospital / medical center
Lund University,Lund University,Academic
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Pfizer,Pfizer,Industry
University of Alexandria,University of Alexandria,Academic
Children's Cancer and Leukaemia Group,Children's Cancer and Leukaemia Group,Cooperative group / network
"Suzhou Zelgen Biopharmaceuticals Co.,Ltd",Suzhou Zelgen Biopharmaceuticals,Industry
AbbVie,AbbVie,Industry
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
Xiaofan Zhu,Xiaofan Zhu,Individual
University of Zurich,University of Zurich,Academic
Genmab,Genmab,Industry
Sequus Pharmaceuticals,Sequus Pharmaceuticals,Industry
Celgene,Celgene,Industry
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
GlaxoSmithKline,GlaxoSmithKline,Industry
Banaras Hindu University,Banaras Hindu University,Academic
The Netherlands Cancer Institute,The Netherlands Cancer Institute,Research institute / foundation
Servier Affaires Médicales,Servier,Industry
Mansoura University,Mansoura University,Academic
Liaoning Cancer Hospital & Institute,Liaoning Cancer Hospital & Institute,Hospital / medical center
Biocad,Biocad,Industry
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Sequus Pharmaceuticals,Sequus Pharmaceuticals,Industry
AstraZeneca,AstraZeneca,Industry
GlaxoSmithKline,GlaxoSmithKline,Industry
Sun Yat-sen University,Sun Yat-sen University,Academic
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
Guangzhou Institute of Respiratory Disease,Guangzhou Institute of Respiratory Disease,Research institute / foundation
Astellas Pharma Inc,Astellas Pharma Inc,Industry
CellSeed Inc.,CellSeed Inc.,Industry
The Netherlands Cancer Institute,The Netherlands Cancer Institute,Research institute / foundation
Centre Hospitalier Universitaire Dijon,Centre Hospitalier Universitaire Dijon,Hospital / medical center
"Shields, Shields and Associates","Shields, Shields and Associates",Other / unknown
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
Ascentage Pharma Group Inc.,Ascentage Pharma Group Inc.,Industry
"The Institute of Molecular and Translational Medicine, Czech Republic",The Institute of Molecular and Translational Medicine,Research institute / foundation
"National University Hospital, Singapore","National University Hospital, Singapore",Hospital / medical center
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
"University College, London",University College London,Academic
Columbia University,Columbia University,Academic
Bristol-Myers Squibb,Bristol-Myers Squibb,Industry
Georgia Tsaousi,Georgia Tsaousi,Individual
