"","measure","country_gbd","sex","age","cause","metric","year","dalys","upper","lower","country_std"
"103","DALYs (Disability-Adjusted Life Years)","Rwanda","Both","All ages","Neoplasms","Number",2023,500377.021292506,568788.542915556,441200.097440896,"Rwanda"
"104","DALYs (Disability-Adjusted Life Years)","Equatorial Guinea","Both","All ages","Neoplasms","Number",2023,44656.764220128,54301.1840595875,32708.9154609782,"Equatorial Guinea"
"105","DALYs (Disability-Adjusted Life Years)","Honduras","Both","All ages","Neoplasms","Number",2023,155552.615576265,174063.276459061,136474.540509146,"Honduras"
"106","DALYs (Disability-Adjusted Life Years)","United Republic of Tanzania","Both","All ages","Neoplasms","Number",2023,1184771.17427978,1371817.97537437,1006400.17224116,"United Republic Of Tanzania"
"107","DALYs (Disability-Adjusted Life Years)","Saint Kitts and Nevis","Both","All ages","Neoplasms","Number",2023,1923.96304650177,2026.29511431908,1818.91892563555,"Saint Kitts And Nevis"
"108","DALYs (Disability-Adjusted Life Years)","Puerto Rico","Both","All ages","Neoplasms","Number",2023,142216.189353716,148671.937417845,133465.09991089,"Puerto Rico"
"109","DALYs (Disability-Adjusted Life Years)","Trinidad and Tobago","Both","All ages","Neoplasms","Number",2023,66431.0666244207,70308.874436261,62855.7299928621,"Trinidad And Tobago"
"110","DALYs (Disability-Adjusted Life Years)","American Samoa","Both","All ages","Neoplasms","Number",2023,1964.56140145098,2229.78215584522,1703.49216215081,"American Samoa"
"111","DALYs (Disability-Adjusted Life Years)","Nicaragua","Both","All ages","Neoplasms","Number",2023,134631.067744579,150362.296123414,122488.761443428,"Nicaragua"
"112","DALYs (Disability-Adjusted Life Years)","Viet Nam","Both","All ages","Neoplasms","Number",2023,3784533.88388723,4314555.41263088,3234867.14457377,"Viet Nam"
"113","DALYs (Disability-Adjusted Life Years)","Democratic People's Republic of Korea","Both","All ages","Neoplasms","Number",2023,1194304.45410062,1420376.34238842,1001604.43369736,"Democratic People's Republic Of Korea"
"114","DALYs (Disability-Adjusted Life Years)","Kuwait","Both","All ages","Neoplasms","Number",2023,52009.4222443813,55179.6514423476,48813.769111944,"Kuwait"
"115","DALYs (Disability-Adjusted Life Years)","Panama","Both","All ages","Neoplasms","Number",2023,106503.750139847,111712.360871754,100375.639492253,"Panama"
"116","DALYs (Disability-Adjusted Life Years)","Libya","Both","All ages","Neoplasms","Number",2023,199489.876515613,235093.573613454,166170.022807838,"Libya"
"117","DALYs (Disability-Adjusted Life Years)","Netherlands","Both","All ages","Neoplasms","Number",2023,1138532.05680999,1190495.31235634,1058092.00383948,"Netherlands"
"118","DALYs (Disability-Adjusted Life Years)","Somalia","Both","All ages","Neoplasms","Number",2023,335058.07798695,396666.005775177,269576.061967316,"Somalia"
"119","DALYs (Disability-Adjusted Life Years)","Cook Islands","Both","All ages","Neoplasms","Number",2023,836.586202119392,945.338105027976,731.432649148353,"Cook Islands"
"120","DALYs (Disability-Adjusted Life Years)","Sierra Leone","Both","All ages","Neoplasms","Number",2023,170686.167948221,199476.761188972,144276.457376492,"Sierra Leone"
